book_id,isbn,authors,original_publication_year,title,average_rating,ratings_count,image_url,popularity_score,text_feature
1,439023483,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg,1.0,"The Hunger Games (The Hunger Games, #1) Suzanne Collins Suzanne Collins"
2,439554934,"J.K. Rowling, Mary GrandPré",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg,0.96273017,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1) J.K. Rowling, Mary GrandPré J.K. Rowling, Mary GrandPré"
3,316015849,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg,0.80885166,"Twilight (Twilight, #1) Stephenie Meyer Stephenie Meyer"
4,61120081,Harper Lee,1960.0,To Kill a Mockingbird,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg,0.66908664,To Kill a Mockingbird Harper Lee Harper Lee
5,743273567,F. Scott Fitzgerald,1925.0,The Great Gatsby,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg,0.5613593,The Great Gatsby F. Scott Fitzgerald F. Scott Fitzgerald
6,525478817,John Green,2012.0,The Fault in Our Stars,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg,0.49081245,The Fault in Our Stars John Green John Green
7,618260307,J.R.R. Tolkien,1937.0,The Hobbit,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg,0.43333328,The Hobbit J.R.R. Tolkien J.R.R. Tolkien
8,316769177,J.D. Salinger,1951.0,The Catcher in the Rye,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg,0.42760706,The Catcher in the Rye J.D. Salinger J.D. Salinger
9,1416524797,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg,0.4186271,"Angels & Demons  (Robert Langdon, #1) Dan Brown Dan Brown"
10,679783261,Jane Austen,1813.0,Pride and Prejudice,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg,0.42577657,Pride and Prejudice Jane Austen Jane Austen
11,1594480001,Khaled Hosseini,2003.0,The Kite Runner,4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg,0.3792461,The Kite Runner Khaled Hosseini Khaled Hosseini
12,62024035,Veronica Roth,2011.0,"Divergent (Divergent, #1)",4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg,0.39818054,"Divergent (Divergent, #1) Veronica Roth Veronica Roth"
13,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949.0,1984,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg,0.40932316,"1984 George Orwell, Erich Fromm, Celâl Üster George Orwell, Erich Fromm, Celâl Üster"
14,452284244,George Orwell,1945.0,Animal Farm,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg,0.39360732,Animal Farm George Orwell George Orwell
15,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg,0.41263527,"The Diary of a Young Girl Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"
16,307269752,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg,0.3782753,"The Girl with the Dragon Tattoo (Millennium, #1) Stieg Larsson, Reg Keeland Stieg Larsson, Reg Keeland"
17,439023491,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg,0.38301024,"Catching Fire (The Hunger Games, #2) Suzanne Collins Suzanne Collins"
18,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg,0.3833834,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) J.K. Rowling, Mary GrandPré, Rufus Beck J.K. Rowling, Mary GrandPré, Rufus Beck"
19,618346252,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg,0.36957356,"The Fellowship of the Ring (The Lord of the Rings, #1) J.R.R. Tolkien J.R.R. Tolkien"
20,439023513,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",4.03,1719760,https://images.gr-assets.com/books/1358275419m/7260188.jpg,0.35973328,"Mockingjay (The Hunger Games, #3) Suzanne Collins Suzanne Collins"
21,439358078,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg,0.3629981,"Harry Potter and the Order of the Phoenix (Harry Potter, #5) J.K. Rowling, Mary GrandPré J.K. Rowling, Mary GrandPré"
22,316166685,Alice Sebold,2002.0,The Lovely Bones,3.77,1605173,https://images.gr-assets.com/books/1457810586m/12232938.jpg,0.33576438,The Lovely Bones Alice Sebold Alice Sebold
23,439064864,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,https://images.gr-assets.com/books/1474169725m/15881.jpg,0.37219414,"Harry Potter and the Chamber of Secrets (Harry Potter, #2) J.K. Rowling, Mary GrandPré J.K. Rowling, Mary GrandPré"
24,439139600,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg,0.3666953,"Harry Potter and the Goblet of Fire (Harry Potter, #4) J.K. Rowling, Mary GrandPré J.K. Rowling, Mary GrandPré"
25,545010225,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,https://images.gr-assets.com/books/1474171184m/136251.jpg,0.36534214,"Harry Potter and the Deathly Hallows (Harry Potter, #7) J.K. Rowling, Mary GrandPré J.K. Rowling, Mary GrandPré"
26,307277674,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg,0.30270928,"The Da Vinci Code (Robert Langdon, #2) Dan Brown Dan Brown"
27,439785960,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg,0.35117024,"Harry Potter and the Half-Blood Prince (Harry Potter, #6) J.K. Rowling, Mary GrandPré J.K. Rowling, Mary GrandPré"
28,140283331,William Golding,1954.0,Lord of the Flies,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg,0.33573216,Lord of the Flies William Golding William Golding
29,743477111,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet,3.73,1628519,https://images.gr-assets.com/books/1327872146m/18135.jpg,0.34064782,"Romeo and Juliet William Shakespeare, Robert           Jackson William Shakespeare, Robert           Jackson"
30,297859382,Gillian Flynn,2012.0,Gone Girl,4.03,512475,https://images.gr-assets.com/books/1339602131m/8442457.jpg,0.1071977,Gone Girl Gillian Flynn Gillian Flynn
31,399155341,Kathryn Stockett,2009.0,The Help,4.45,1531753,https://images.gr-assets.com/books/1346100365m/4667024.jpg,0.32040665,The Help Kathryn Stockett Kathryn Stockett
32,142000671,John Steinbeck,1937.0,Of Mice and Men,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg,0.3069656,Of Mice and Men John Steinbeck John Steinbeck
33,739326228,Arthur Golden,1997.0,Memoirs of a Geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,0.2719731,Memoirs of a Geisha Arthur Golden Arthur Golden
34,1612130291,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,https://images.gr-assets.com/books/1385207843m/10818853.jpg,0.2799812,"Fifty Shades of Grey (Fifty Shades, #1) E.L. James E.L. James"
35,61122416,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg,0.2718386,"The Alchemist Paulo Coelho, Alan R. Clarke Paulo Coelho, Alan R. Clarke"
36,385732554,Lois Lowry,1993.0,"The Giver (The Giver, #1)",4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg,0.27126524,"The Giver (The Giver, #1) Lois Lowry Lois Lowry"
37,60764899,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,https://images.gr-assets.com/books/1353029077m/100915.jpg,0.32041648,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1) C.S. Lewis C.S. Lewis"
38,965818675,Audrey Niffenegger,2003.0,The Time Traveler's Wife,3.95,746287,https://images.gr-assets.com/books/1437728815m/14050.jpg,0.15610567,The Time Traveler's Wife Audrey Niffenegger Audrey Niffenegger
39,553588486,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,https://images.gr-assets.com/books/1436732693m/13496.jpg,0.2759464,"A Game of Thrones (A Song of Ice and Fire, #1) George R.R. Martin George R.R. Martin"
40,143038419,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",3.51,1181647,https://images.gr-assets.com/books/1503066414m/19501.jpg,0.24717271,"Eat, Pray, Love Elizabeth Gilbert Elizabeth Gilbert"
41,786838655,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,https://images.gr-assets.com/books/1400602609m/28187.jpg,0.28579044,"The Lightning Thief (Percy Jackson and the Olympians, #1) Rick Riordan Rick Riordan"
42,451529308,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,0.2629601,"Little Women (Little Women, #1) Louisa May Alcott Louisa May Alcott"
43,142437204,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,4.1,1198557,https://images.gr-assets.com/books/1327867269m/10210.jpg,0.2507099,"Jane Eyre Charlotte Brontë, Michael Mason Charlotte Brontë, Michael Mason"
44,553816713,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",4.06,1053403,https://images.gr-assets.com/books/1385738917m/15931.jpg,0.22034709,"The Notebook (The Notebook, #1) Nicholas Sparks Nicholas Sparks"
45,770430074,Yann Martel,2001.0,Life of Pi,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg,0.20985167,Life of Pi Yann Martel Yann Martel
46,1565125606,Sara Gruen,2006.0,Water for Elephants,4.07,1068146,https://images.gr-assets.com/books/1494428973m/43641.jpg,0.22343098,Water for Elephants Sara Gruen Sara Gruen
47,375831002,Markus Zusak,2005.0,The Book Thief,4.36,1159741,https://images.gr-assets.com/books/1390053681m/19063.jpg,0.2425905,The Book Thief Markus Zusak Markus Zusak
